Baringo,53
Bomet,38
Bungoma,64
Busia,183
Elgeiyo-Marakwet,38
Embu,93
Garissa,48
Homa Bay,70
Isiolo,60
Kajiado,53
Kakamega,66
Kericho,120
Kiambu,102
Kilifi,71
Kirinyaga,91
Kisii,48
Kisumu,104
Kitui,88
Kwale,31
Laikipia,54
Lamu,95
Machakos,74
Makueni,76
Mandera,4
Marsabit,86
Meru,82
Migori,89
Mombasa,98
Murang'a,45
Nairobi,92
Nakuru,62
Nandi,82
Narok,38
Nyamira,58
Nyandarua,77
Nyeri,99
Samburu,24
Siaya,82
Taita Taveta,52
Tana River,97
Tharaka,95
Trans Nzoia,56
Turkana,20
Uasin Gishu,144
Vihiga,97
Wajir,26
West Pokot,29
