Baringo,0.51
Bomet,0.54
Bungoma,0.48
Busia,0.43
Elgeiyo-Marakwet,0.53
Embu,0.55
Garissa,0.47
Homa Bay,0.41
Isiolo,0.45
Kajiado,0.59
Kakamega,0.48
Kericho,0.52
Kiambu,0.56
Kilifi,0.57
Kirinyaga,0.57
Kisii,0.51
Kisumu,0.52
Kitui,0.48
Kwale,0.44
Laikipia,0.57
Lamu,0.5
Machakos,0.54
Makueni,0.48
Mandera,0.42
Marsabit,0.44
Meru,0.55
Migori,0.45
Mombasa,0.55
Murang'a,0.56
Nairobi,0.64
Nakuru,0.52
Nandi,0.52
Narok,0.51
Nyamira,0.54
Nyandarua,0.53
Nyeri,0.59
Samburu,0.43
Siaya,0.44
Taita Taveta,0.54
Tana River,0.4
Tharaka,0.51
Trans Nzoia,0.5
Turkana,0.37
Uasin Gishu,0.57
Vihiga,0.5
Wajir,0.42
West Pokot,0.45
